"comuna","acceso_indeterminadoFALSE","acceso_indeterminadoTRUE","se.acceso_indeterminadoFALSE","se.acceso_indeterminadoTRUE"
"Aisen",0.991460163168073,0.00853983683192741,0.00481021908406155,0.00481021908406156
"Alto Hospicio",0.993075849863738,0.00692415013626247,0.00342011615817611,0.00342011615817612
"Ancud",0.953710958791129,0.0462890412088713,0.0228647818401096,0.0228647818401096
"Angol",1,0,0,0
"Antofagasta",1,0,0,0
"Arica",1,0,0,0
"Buin",1,0,0,0
"Bulnes",0.989684178344967,0.0103158216550333,0.010213896506038,0.010213896506038
"Calama",0.975414794856652,0.0245852051433478,0.0122497699623849,0.0122497699623849
"Calbuco",0.920785997241551,0.0792140027584487,0.0466565724717916,0.0466565724717916
"Calera",0.996620887942208,0.00337911205779233,0.00336841750356842,0.00336841750356842
"Castro",0.965547106315028,0.0344528936849717,0.013676528563517,0.013676528563517
"Cauquenes",1,0,0,0
"Cerrillos",0.996886730769757,0.00311326923024315,0.00310437966658763,0.00310437966658763
"Cerro Navia",0.996059762934033,0.00394023706596713,0.00396164399012356,0.00396164399012356
"Chanaral",0.990184466246437,0.0098155337535634,0.00662227231530469,0.00662227231530469
"Chiguayante",0.997219410193035,0.00278058980696544,0.00277553866816732,0.00277553866816732
"Chillan",0.998052199583196,0.00194780041680414,0.00194263725017279,0.00194263725017279
"Chillan Viejo",1,0,0,0
"Chimbarongo",1,0,0,0
"Coihaique",0.990660219573874,0.00933978042612625,0.00430563164150447,0.00430563164150447
"Coihueco",1,0,0,0
"Colina",0.994515317099444,0.00548468290055632,0.00390163465727546,0.00390163465727546
"Collipulli",0.993888209350948,0.00611179064905193,0.00606533277017907,0.00606533277017906
"Concepcion",0.99860535592164,0.00139464407836047,0.00139904357123552,0.00139904357123552
"Conchali",0.997971971469282,0.00202802853071846,0.00203087528605836,0.00203087528605836
"Concon",0.988209322838066,0.0117906771619341,0.00952195805970404,0.00952195805970404
"Constitucion",0.985017395023945,0.014982604976055,0.00896438633958225,0.00896438633958225
"Copiapo",0.994637107810819,0.00536289218918058,0.00314097084245785,0.00314097084245785
"Coquimbo",0.993183066159324,0.00681693384067612,0.00390263509455287,0.00390263509455287
"Coronel",1,0,0,0
"Curico",0.995687005875677,0.0043129941243226,0.00247803324492254,0.00247803324492254
"Donihue",1,0,0,0
"El Bosque",1,0,0,0
"Estacion Central",0.994531419915121,0.00546858008487934,0.00551511854730727,0.00551511854730727
"Graneros",0.986804339646833,0.0131956603531671,0.00963194650173478,0.00963194650173478
"Hualpen",0.997741429855299,0.00225857014470081,0.00226033071119425,0.00226033071119425
"Huechuraba",0.990838034880316,0.00916196511968385,0.006329523096343,0.006329523096343
"Illapel",0.996920284070904,0.0030797159290955,0.00305458440142445,0.00305458440142445
"Independencia",0.995511693565661,0.00448830643433938,0.00450703367030012,0.00450703367030012
"Iquique",0.99652721602922,0.00347278397077952,0.00203078141204203,0.00203078141204203
"La Cisterna",0.995822122924094,0.00417787707590613,0.00422132503630215,0.00422132503630215
"La Florida",0.993961159487792,0.00603884051220756,0.0044519508627015,0.0044519508627015
"La Granja",1,0,4.80131549653187e-18,0
"La Ligua",0.996274718503816,0.00372528149618421,0.003668873677345,0.003668873677345
"La Pintana",1,0,0,0
"La Reina",0.997032231797935,0.00296776820206535,0.00296020626206294,0.00296020626206294
"La Serena",0.997072759334603,0.00292724066539656,0.00205940263513987,0.00205940263513987
"La Union",0.986133512484164,0.0138664875158362,0.00744959490940616,0.00744959490940617
"Lampa",0.996736075731818,0.00326392426818187,0.00323759563487773,0.00323759563487773
"Las Condes",0.995904928814572,0.00409507118542806,0.00290392521558901,0.00290392521558901
"Lautaro",1,0,0,0
"Lebu",1,0,0,0
"Limache",1,0,0,0
"Linares",0.990963941873028,0.00903605812697175,0.00443609243243214,0.00443609243243214
"Lo Barnechea",0.995173698972713,0.00482630102728729,0.00485322892568677,0.00485322892568677
"Lo Espejo",1,0,4.73444329930534e-18,0
"Lo Prado",0.995441510900565,0.00455848909943529,0.00460331649292115,0.00460331649292115
"Loncoche",1,0,0,0
"Los Andes",1,0,0,0
"Los Angeles",0.990427880950149,0.00957211904985156,0.00469562320366037,0.00469562320366037
"Los Vilos",0.950111792118381,0.0498882078816192,0.0185628186221461,0.0185628186221461
"Lota",1,0,0,0
"Machali",0.994160252719769,0.0058397472802305,0.00414896291245014,0.00414896291245014
"Macul",1,0,0,0
"Maipu",0.996612683376656,0.00338731662334423,0.00243045135888891,0.00243045135888891
"Maule",1,0,0,0
"Melipilla",0.99338395291126,0.00661604708873972,0.00466387429650309,0.00466387429650309
"Molina",0.99439766947924,0.00560233052075953,0.00392377334938804,0.00392377334938804
"Mostazal",0.988121196367137,0.0118788036328629,0.00839260484263932,0.00839260484263932
"Natales",0.997199390703219,0.00280060929678102,0.00280011518954764,0.00280011518954764
"Nueva Imperial",0.988635212121059,0.0113647878789413,0.00777554372688213,0.00777554372688213
"Nunoa",0.997692495591893,0.00230750440810751,0.0023207960056503,0.0023207960056503
"Osorno",1,0,0,0
"Ovalle",1,0,0,0
"Padre Hurtado",0.986722432847424,0.0132775671525755,0.0057523996151082,0.0057523996151082
"Padre Las Casas",0.996285060781171,0.00371493921882851,0.00374181723796915,0.00374181723796915
"Paillaco",0.97923953729136,0.0207604627086405,0.00987615314210274,0.00987615314210274
"Paine",0.99665428719485,0.00334571280515012,0.00341794179748119,0.00341794179748119
"Panguipulli",0.9851025658093,0.0148974341907001,0.00803246141506904,0.00803246141506904
"Parral",1,0,0,0
"Pedro Aguirre Cerda",0.992104800480213,0.00789519951978733,0.00567358275627813,0.00567358275627813
"Penaflor",0.991501906122092,0.00849809387790817,0.00488359070363614,0.00488359070363614
"Penalolen",0.993937969192683,0.00606203080731711,0.0042880616552646,0.0042880616552646
"Penco",0.990836345970329,0.00916365402967077,0.00484793227576333,0.00484793227576333
"Pichilemu",0.930855599796257,0.0691444002037428,0.0298587885431894,0.0298587885431894
"Pitrufquen",0.989532847236351,0.0104671527636489,0.0072935706959815,0.00729357069598149
"Pozo Almonte",0.988847884033192,0.0111521159668078,0.00775748665807111,0.00775748665807111
"Providencia",1,0,0,0
"Pucon",0.952517274685761,0.0474827253142394,0.0249791026861231,0.0249791026861231
"Pudahuel",1,0,0,0
"Puente Alto",1,0,0,0
"Puerto Montt",0.991418126681864,0.00858187331813562,0.00424129754269112,0.00424129754269112
"Puerto Varas",0.973577447133476,0.0264225528665236,0.0116437357805644,0.0116437357805644
"Punta Arenas",0.997492812126713,0.00250718787328658,0.00180861316158011,0.00180861316158011
"Quellon",0.914674292987804,0.0853257070121956,0.0421884054322575,0.0421884054322575
"Quilicura",1,0,0,0
"Quillon",1,0,0,0
"Quillota",0.996806319037187,0.00319368096281277,0.00322500586261131,0.00322500586261131
"Quilpue",0.998247465741155,0.00175253425884477,0.00175686833518498,0.00175686833518498
"Quinta Normal",0.984590519550238,0.015409480449762,0.00823800540448158,0.00823800540448158
"Quirihue",1,0,0,0
"Rancagua",1,0,4.01093414422173e-18,0
"Recoleta",0.995402577693394,0.0045974223066061,0.00327344359762697,0.00327344359762697
"Renca",0.98526029924425,0.0147397007557497,0.00740221533032581,0.00740221533032581
"Rengo",1,0,0,0
"Rio Bueno",1,0,4.97718346708381e-18,0
"San Antonio",0.996197554614129,0.00380244538587119,0.00379332220607121,0.00379332220607121
"San Bernardo",0.995141454221151,0.00485854577884875,0.00341640952886982,0.00341640952886982
"San Carlos",0.996476160103835,0.00352383989616499,0.00351433204559232,0.00351433204559232
"San Felipe",0.991696894838646,0.00830310516135409,0.00826114504169687,0.00826114504169687
"San Fernando",1,0,0,0
"San Javier",0.994071481950245,0.00592851804975458,0.00424230040952783,0.00424230040952783
"San Joaquin",0.940868276917855,0.0591317230821452,0.0334078299629891,0.0334078299629891
"San Miguel",0.998330737092262,0.00166926290773829,0.00167989201188666,0.00167989201188666
"San Pedro de la Paz",0.997242467416841,0.00275753258315951,0.00274977217221682,0.00274977217221682
"San Ramon",1,0,0,0
"San Vicente",0.996174660289731,0.00382533971026896,0.00381303673970123,0.00381303673970123
"Santa Cruz",1,0,0,0
"Santiago",0.98976872504631,0.0102312749536902,0.00567929447803958,0.00567929447803958
"Talagante",0.978073919471943,0.0219260805280567,0.0100195381760781,0.0100195381760781
"Talca",0.995718598237845,0.00428140176215532,0.00218933211516372,0.00218933211516372
"Talcahuano",0.994185518512459,0.00581448148754136,0.0033627199756281,0.0033627199756281
"Temuco",0.994376695454992,0.00562330454500812,0.00445551255614517,0.00445551255614517
"Tocopilla",0.996449741507037,0.00355025849296299,0.00355709981179355,0.00355709981179354
"Tome",0.986353796379986,0.0136462036200138,0.00725291360081701,0.00725291360081701
"Valdivia",0.992909271650284,0.00709072834971596,0.00353039871082371,0.00353039871082371
"Vallenar",1,0,0,0
"Valparaiso",1,0,0,0
"Victoria",0.988434248963926,0.0115657510360737,0.00811924477934351,0.00811924477934351
"Vilcun",1,0,0,0
"Villa Alemana",0.998309621526156,0.00169037847384406,0.00168583582398821,0.00168583582398821
"Villarrica",1,0,0,0
"Vina del Mar",0.995262884752374,0.00473711524762558,0.00294127565453231,0.00294127565453231
"Vitacura",1,0,0,0
"Yungay",0.996171083977141,0.00382891602285864,0.00386805708451877,0.00386805708451877
