"comuna","si_medida_seguridad_cercoFALSE","si_medida_seguridad_cercoTRUE","se.si_medida_seguridad_cercoFALSE","se.si_medida_seguridad_cercoTRUE"
"Aisen",0.99543627149501,0.00456372850499034,0.00448554562773377,0.00448554562773377
"Alto Hospicio",0.857920542327472,0.142079457672528,0.0258687366551012,0.0258687366551012
"Ancud",0.981809955359519,0.0181900446404806,0.00920319577446591,0.00920319577446591
"Angol",0.888379242068024,0.111620757931976,0.0468326112452594,0.0468326112452594
"Antofagasta",0.873501220351732,0.126498779648268,0.017090919610486,0.017090919610486
"Arica",0.952799105039683,0.0472008949603175,0.00768528342628658,0.00768528342628658
"Buin",0.955432122973635,0.0445678770263653,0.0198884087711739,0.0198884087711739
"Bulnes",0.995849843379097,0.00415015662090261,0.00414597764874709,0.0041459776487471
"Calama",0.947580474376789,0.0524195256232108,0.0131744317790606,0.0131744317790606
"Calbuco",0.990816049355109,0.00918395064489101,0.0092356525963019,0.0092356525963019
"Calera",0.974536885994368,0.0254631140056318,0.0116108800767976,0.0116108800767976
"Castro",0.901740244573361,0.0982597554266391,0.0201196336667096,0.0201196336667096
"Cauquenes",0.989426419596467,0.010573580403533,0.00454842956364812,0.00454842956364812
"Cerrillos",0.976081013730681,0.0239189862693188,0.00953178783389958,0.00953178783389958
"Cerro Navia",0.978626522280095,0.0213734777199052,0.00931654715196396,0.00931654715196396
"Chanaral",0.970846502516893,0.0291534974831074,0.0156194273524527,0.0156194273524527
"Chiguayante",0.884926638010044,0.115073361989956,0.0232284151536297,0.0232284151536297
"Chillan",0.9307105713231,0.0692894286768998,0.013517996410698,0.013517996410698
"Chillan Viejo",0.98609962546978,0.0139003745302197,0.00698763066777108,0.00698763066777108
"Chimbarongo",0.860057142517546,0.139942857482454,0.0346083905755351,0.0346083905755351
"Coihaique",0.967520144075759,0.0324798559242408,0.00756915477390805,0.00756915477390805
"Coihueco",1,0,0,0
"Colina",0.933789856921633,0.0662101430783674,0.0203573610564221,0.0203573610564221
"Collipulli",0.354974955622444,0.645025044377556,0.075362235044632,0.075362235044632
"Concepcion",0.865515579962297,0.134484420037703,0.0196285195174764,0.0196285195174764
"Conchali",0.973426367086842,0.0265736329131583,0.00894032302612963,0.00894032302612963
"Concon",0.854671211617783,0.145328788382217,0.0336720477822097,0.0336720477822097
"Constitucion",0.990737124604839,0.00926287539516062,0.00553630661863013,0.00553630661863012
"Copiapo",0.897376192308178,0.102623807691822,0.0183438456928408,0.0183438456928408
"Coquimbo",0.923036811514031,0.0769631884859692,0.0168092711820438,0.0168092711820438
"Coronel",0.94031885782475,0.0596811421752504,0.0177365250964743,0.0177365250964743
"Curico",0.978101628996907,0.0218983710030934,0.00871946970719528,0.00871946970719528
"Donihue",0.995272953081697,0.00472704691830323,0.00477958033726573,0.00477958033726573
"El Bosque",0.958319542917142,0.0416804570828578,0.0184072698618823,0.0184072698618823
"Estacion Central",0.932315283196266,0.0676847168037338,0.0182277777681805,0.0182277777681805
"Graneros",0.977462033153625,0.0225379668463755,0.0105496865315515,0.0105496865315515
"Hualpen",0.90245758030292,0.0975424196970804,0.0224036072473397,0.0224036072473397
"Huechuraba",0.917153151700349,0.0828468482996506,0.0412875677541188,0.0412875677541188
"Illapel",0.993280900502221,0.00671909949777955,0.00479687871787666,0.00479687871787666
"Independencia",0.862522463167859,0.137477536832141,0.0456382935342755,0.0456382935342755
"Iquique",0.96700074039408,0.0329992596059203,0.00859669973236632,0.00859669973236632
"La Cisterna",0.856052956326858,0.143947043673142,0.0341965206740212,0.0341965206740212
"La Florida",0.914614677251388,0.0853853227486119,0.0285448751172427,0.0285448751172427
"La Granja",0.985268494167037,0.0147315058329629,0.0103444666987802,0.0103444666987802
"La Ligua",1,0,0,0
"La Pintana",0.99538036427259,0.00461963572740982,0.00461616993386237,0.00461616993386236
"La Reina",0.926127935025529,0.0738720649744712,0.0165183412330759,0.0165183412330759
"La Serena",0.910627068856181,0.0893729311438195,0.021054785585557,0.021054785585557
"La Union",0.963814335034187,0.0361856649658125,0.0111967908451642,0.0111967908451642
"Lampa",0.955824649258095,0.0441753507419047,0.016366352719151,0.016366352719151
"Las Condes",0.734307543943015,0.265692456056985,0.0298451038209863,0.0298451038209863
"Lautaro",0.886710974152063,0.113289025847937,0.0243244676886014,0.0243244676886014
"Lebu",0.936512396992356,0.0634876030076442,0.0253788620238538,0.0253788620238538
"Limache",0.916823736169953,0.0831762638300472,0.0210305751234295,0.0210305751234295
"Linares",0.978899759148365,0.0211002408516351,0.00859766409440685,0.00859766409440685
"Lo Barnechea",0.573276418350854,0.426723581649146,0.064066148839277,0.064066148839277
"Lo Espejo",0.982039802132842,0.0179601978671576,0.00716733813794119,0.00716733813794119
"Lo Prado",0.974309181130886,0.0256908188691144,0.0144013246549346,0.0144013246549346
"Loncoche",0.146095992427674,0.853904007572326,0.0331998638090498,0.0331998638090498
"Los Andes",0.983400779718817,0.0165992202811831,0.00709561744414286,0.00709561744414286
"Los Angeles",0.925532916059265,0.0744670839407349,0.0206167965835756,0.0206167965835756
"Los Vilos",1,0,0,0
"Lota",0.972684281514783,0.0273157184852168,0.009028635383976,0.009028635383976
"Machali",0.901843378642346,0.0981566213576536,0.0280329920082303,0.0280329920082303
"Macul",0.82941283920267,0.17058716079733,0.0302954647224098,0.0302954647224098
"Maipu",0.961011206412694,0.0389887935873064,0.00964350690521843,0.00964350690521843
"Maule",0.989617373540584,0.0103826264594156,0.00701136305034788,0.00701136305034788
"Melipilla",0.996411411047173,0.00358858895282727,0.00288526647603954,0.00288526647603954
"Molina",0.99666770920274,0.00333229079725987,0.00334637543537386,0.00334637543537386
"Mostazal",0.952697239555936,0.0473027604440637,0.0158471652192868,0.0158471652192868
"Natales",0.944976158527313,0.0550238414726872,0.0129406442598341,0.0129406442598341
"Nueva Imperial",0.939533365406919,0.0604666345930806,0.020378821237065,0.020378821237065
"Nunoa",0.796577827615745,0.203422172384255,0.0255710727283134,0.0255710727283134
"Osorno",0.663994503054097,0.336005496945903,0.0411958566440544,0.0411958566440544
"Ovalle",0.976294160179299,0.023705839820701,0.00831986865508782,0.00831986865508782
"Padre Hurtado",0.956489700770887,0.0435102992291132,0.0135014231798536,0.0135014231798536
"Padre Las Casas",0.953743755162707,0.0462562448372925,0.0191486027924498,0.0191486027924498
"Paillaco",0.979296130833344,0.0207038691666565,0.00978472039065367,0.00978472039065367
"Paine",0.980612219216532,0.019387780783468,0.00766146999829579,0.0076614699982958
"Panguipulli",0.99110208668656,0.00889791331344032,0.00604717812019904,0.00604717812019903
"Parral",0.968523096655948,0.0314769033440521,0.0117899599386391,0.0117899599386391
"Pedro Aguirre Cerda",0.97290384590488,0.0270961540951202,0.00868867949815526,0.00868867949815526
"Penaflor",0.983656899394138,0.0163431006058617,0.00932680401504687,0.00932680401504688
"Penalolen",0.920197813455631,0.0798021865443692,0.0229619186626914,0.0229619186626914
"Penco",0.917447714249528,0.0825522857504722,0.0262305662721114,0.0262305662721114
"Pichilemu",0.941273811380318,0.0587261886196816,0.0302271332223123,0.0302271332223123
"Pitrufquen",0.973476201246229,0.0265237987537706,0.0109078201573605,0.0109078201573605
"Pozo Almonte",0.816924900797457,0.183075099202543,0.086802354011782,0.086802354011782
"Providencia",0.845349135530016,0.154650864469984,0.0209624438006065,0.0209624438006065
"Pucon",0.792814608292023,0.207185391707977,0.0454874747543017,0.0454874747543017
"Pudahuel",0.935087304625175,0.064912695374825,0.0267339623278627,0.0267339623278627
"Puente Alto",0.949835744531246,0.0501642554687536,0.0133356761010914,0.0133356761010914
"Puerto Montt",0.825084904810465,0.174915095189534,0.0318906500713994,0.0318906500713994
"Puerto Varas",0.918492677291197,0.0815073227088026,0.021078240162949,0.021078240162949
"Punta Arenas",0.832822934724695,0.167177065275305,0.0169826202746839,0.0169826202746839
"Quellon",0.985089563868482,0.0149104361315178,0.00827058299897102,0.00827058299897102
"Quilicura",0.995565974872651,0.00443402512734936,0.00441627613709992,0.00441627613709992
"Quillon",0.942631860514924,0.0573681394850758,0.0186303324613441,0.0186303324613441
"Quillota",0.94159659482255,0.0584034051774497,0.0175348191593536,0.0175348191593536
"Quilpue",0.93494216302885,0.0650578369711503,0.0158430615213621,0.0158430615213621
"Quinta Normal",0.881562316550651,0.118437683449348,0.0298527742354258,0.0298527742354258
"Quirihue",0.898466018567054,0.101533981432946,0.0466426258434602,0.0466426258434601
"Rancagua",0.939219505067369,0.0607804949326312,0.0139566012962136,0.0139566012962136
"Recoleta",0.933938289531949,0.0660617104680511,0.0185496795278892,0.0185496795278892
"Renca",0.980069430861553,0.0199305691384475,0.0102835704573591,0.0102835704573591
"Rengo",0.937498107486912,0.062501892513088,0.0205421007386513,0.0205421007386513
"Rio Bueno",0.96863168646705,0.0313683135329504,0.0129720140782273,0.0129720140782273
"San Antonio",0.95464831128156,0.0453516887184403,0.0164166189273192,0.0164166189273192
"San Bernardo",0.961939212482473,0.0380607875175267,0.0115026129263886,0.0115026129263886
"San Carlos",0.98154222366572,0.0184577763342797,0.00967267255876166,0.00967267255876166
"San Felipe",0.988357177972928,0.0116428220270724,0.00549270749026379,0.00549270749026379
"San Fernando",0.595275851979748,0.404724148020253,0.0391868685903073,0.0391868685903073
"San Javier",0.989372687092294,0.0106273129077057,0.00517444445527459,0.00517444445527459
"San Joaquin",0.960554759840087,0.0394452401599135,0.0217376147151764,0.0217376147151764
"San Miguel",0.784514318687076,0.215485681312924,0.0423366978550672,0.0423366978550672
"San Pedro de la Paz",0.87896107681549,0.12103892318451,0.0241901580931607,0.0241901580931607
"San Ramon",0.982224146770995,0.0177758532290052,0.00660444591520766,0.00660444591520766
"San Vicente",0.986321576610273,0.0136784233897265,0.00977606061285226,0.00977606061285227
"Santa Cruz",0.936898534822899,0.0631014651771011,0.0319099522871332,0.0319099522871332
"Santiago",0.934639999617489,0.0653600003825112,0.0119105956343063,0.0119105956343063
"Talagante",0.96918867775464,0.0308113222453597,0.0131680257074611,0.0131680257074611
"Talca",0.968584812783069,0.0314151872169311,0.00791003344498568,0.00791003344498568
"Talcahuano",0.93883531534747,0.06116468465253,0.0161836573565241,0.0161836573565241
"Temuco",0.883924852901719,0.116075147098281,0.0203906285354724,0.0203906285354724
"Tocopilla",0.996193531292184,0.00380646870781655,0.00381380374161769,0.00381380374161769
"Tome",0.969310650616248,0.030689349383752,0.00910907399337759,0.00910907399337759
"Valdivia",0.93151186687222,0.0684881331277801,0.0149674960047774,0.0149674960047774
"Vallenar",0.941136673725342,0.0588633262746583,0.0251273908926261,0.0251273908926261
"Valparaiso",0.947498524323928,0.0525014756760723,0.0155603727045511,0.0155603727045511
"Victoria",0.92089701390439,0.0791029860956097,0.0310394036178402,0.0310394036178402
"Vilcun",0.816959015447879,0.183040984552121,0.0380114817754183,0.0380114817754183
"Villa Alemana",0.923379108605463,0.0766208913945372,0.0176939929816279,0.0176939929816279
"Villarrica",0.828974560629061,0.171025439370939,0.0512611709826315,0.0512611709826315
"Vina del Mar",0.8833172938606,0.1166827061394,0.0182137893743098,0.0182137893743098
"Vitacura",0.751137192731571,0.248862807268429,0.0448248764621666,0.0448248764621666
"Yungay",1,0,0,0
