"comuna","si_medidas_seguridad_whatsappFALSE","si_medidas_seguridad_whatsappTRUE","se.si_medidas_seguridad_whatsappFALSE","se.si_medidas_seguridad_whatsappTRUE"
"Aisen",0.781908668797684,0.218091331202316,0.0303053147895546,0.0303053147895546
"Alto Hospicio",0.450045136302633,0.549954863697367,0.0323292695770901,0.0323292695770901
"Ancud",0.621648416742068,0.378351583257932,0.0377744524806836,0.0377744524806836
"Angol",0.596389636274373,0.403610363725627,0.0413087052199825,0.0413087052199825
"Antofagasta",0.400056552126969,0.599943447873031,0.0270898157955373,0.0270898157955373
"Arica",0.401608987680296,0.598391012319704,0.0197840541415296,0.0197840541415296
"Buin",0.383734314980509,0.616265685019491,0.0534118399674022,0.0534118399674022
"Bulnes",0.683721167628289,0.316278832371711,0.0365724453309674,0.0365724453309674
"Calama",0.432834963106115,0.567165036893885,0.0312160492421368,0.0312160492421368
"Calbuco",0.638953679322838,0.361046320677162,0.0401646082805194,0.0401646082805194
"Calera",0.520667921412215,0.479332078587785,0.0402110668634872,0.0402110668634872
"Castro",0.614033753856321,0.385966246143679,0.0355239751534355,0.0355239751534355
"Cauquenes",0.77210021711013,0.22789978288987,0.0268262938429259,0.0268262938429259
"Cerrillos",0.406681932902939,0.593318067097061,0.0408482318943094,0.0408482318943094
"Cerro Navia",0.57254790708566,0.42745209291434,0.0423294476446788,0.0423294476446788
"Chanaral",0.694129346099821,0.305870653900179,0.0466186047099199,0.0466186047099199
"Chiguayante",0.436434814790363,0.563565185209637,0.0475167638651266,0.0475167638651266
"Chillan",0.518280577468137,0.481719422531863,0.0301196905958726,0.0301196905958726
"Chillan Viejo",0.522564292270212,0.477435707729788,0.0447295787821316,0.0447295787821316
"Chimbarongo",0.582944063354235,0.417055936645765,0.0542119959672965,0.0542119959672965
"Coihaique",0.719544026953563,0.280455973046437,0.0275069247585403,0.0275069247585403
"Coihueco",0.758041905828524,0.241958094171476,0.0682194993486139,0.0682194993486139
"Colina",0.40411097651686,0.59588902348314,0.0418266037122496,0.0418266037122496
"Collipulli",0.704252034488009,0.295747965511991,0.0466090260492087,0.0466090260492087
"Concepcion",0.398455733023028,0.601544266976972,0.0284972350005734,0.0284972350005734
"Conchali",0.512219752315171,0.487780247684829,0.0306277280117005,0.0306277280117005
"Concon",0.382011080363021,0.617988919636979,0.0364205470559712,0.0364205470559712
"Constitucion",0.537162879175607,0.462837120824393,0.0415385336370056,0.0415385336370056
"Copiapo",0.487467165436621,0.512532834563379,0.0316384525723707,0.0316384525723707
"Coquimbo",0.422032763321024,0.577967236678976,0.0388806737414278,0.0388806737414278
"Coronel",0.468422637072806,0.531577362927194,0.0311459545868744,0.0311459545868744
"Curico",0.522953106665233,0.477046893334767,0.0288379704106469,0.0288379704106469
"Donihue",0.543333529192782,0.456666470807218,0.0531567803780081,0.0531567803780081
"El Bosque",0.507425259692734,0.492574740307266,0.0467970015455097,0.0467970015455097
"Estacion Central",0.427150580765393,0.572849419234607,0.0457210065246597,0.0457210065246597
"Graneros",0.4411016602118,0.5588983397882,0.0465553701264227,0.0465553701264227
"Hualpen",0.403423627635159,0.596576372364841,0.0437320115923659,0.0437320115923659
"Huechuraba",0.524643373185451,0.475356626814549,0.074129417480738,0.074129417480738
"Illapel",0.590716158634615,0.409283841365385,0.0349446726824195,0.0349446726824195
"Independencia",0.46321589179482,0.53678410820518,0.0366690155588878,0.0366690155588878
"Iquique",0.507799349930484,0.492200650069516,0.0269359933333078,0.0269359933333078
"La Cisterna",0.356733310530813,0.643266689469187,0.0431677240210624,0.0431677240210624
"La Florida",0.325383840243038,0.674616159756962,0.0288467380548297,0.0288467380548297
"La Granja",0.530980053537764,0.469019946462236,0.0404807429775729,0.0404807429775729
"La Ligua",0.515042651378212,0.484957348621788,0.0405039612702669,0.0405039612702669
"La Pintana",0.527960947823187,0.472039052176813,0.0475883920485201,0.0475883920485201
"La Reina",0.251788064724351,0.748211935275649,0.0299620059400579,0.0299620059400579
"La Serena",0.416186458696581,0.583813541303419,0.0285839947642907,0.0285839947642907
"La Union",0.723214091696494,0.276785908303506,0.0386892879526508,0.0386892879526508
"Lampa",0.441006577199965,0.558993422800035,0.0420150533629367,0.0420150533629367
"Las Condes",0.482749189985039,0.517250810014961,0.0343416877976319,0.0343416877976319
"Lautaro",0.678375201076868,0.321624798923132,0.0424569383615926,0.0424569383615926
"Lebu",0.692647881899093,0.307352118100907,0.0353410688026278,0.0353410688026278
"Limache",0.544373733412396,0.455626266587604,0.0359947608434289,0.0359947608434289
"Linares",0.578382221237394,0.421617778762606,0.0280596693458011,0.0280596693458011
"Lo Barnechea",0.286830215398567,0.713169784601433,0.0391254504521783,0.0391254504521783
"Lo Espejo",0.590039883956571,0.409960116043429,0.0345531294812801,0.0345531294812801
"Lo Prado",0.407391339878055,0.592608660121945,0.043499832293503,0.043499832293503
"Loncoche",0.666099379435701,0.333900620564299,0.0687911074102496,0.0687911074102496
"Los Andes",0.51760210189495,0.48239789810505,0.0361146427747391,0.0361146427747391
"Los Angeles",0.58273601540092,0.41726398459908,0.0347573143227635,0.0347573143227635
"Los Vilos",0.678770511182423,0.321229488817577,0.0372851679267057,0.0372851679267057
"Lota",0.655794248834153,0.344205751165847,0.0351373458537093,0.0351373458537093
"Machali",0.33443674924421,0.66556325075579,0.0324804210155458,0.0324804210155458
"Macul",0.293117062937265,0.706882937062735,0.0253627039823648,0.0253627039823648
"Maipu",0.260083378362158,0.739916621637842,0.0238870264090422,0.0238870264090422
"Maule",0.459188544119534,0.540811455880466,0.0394077319685853,0.0394077319685853
"Melipilla",0.510444663861095,0.489555336138905,0.043900825320498,0.043900825320498
"Molina",0.631863928869016,0.368136071130984,0.0380862850471984,0.0380862850471984
"Mostazal",0.47860365773264,0.52139634226736,0.0560271199931646,0.0560271199931646
"Natales",0.815714906496281,0.184285093503719,0.0372528943993165,0.0372528943993165
"Nueva Imperial",0.629318977373832,0.370681022626168,0.04691298163307,0.04691298163307
"Nunoa",0.259655271409166,0.740344728590834,0.0239244499345273,0.0239244499345273
"Osorno",0.582137537648506,0.417862462351494,0.0333481335723178,0.0333481335723178
"Ovalle",0.558288754501379,0.441711245498621,0.0285410328791361,0.0285410328791361
"Padre Hurtado",0.53226917253718,0.46773082746282,0.037287852336662,0.037287852336662
"Padre Las Casas",0.521071891955442,0.478928108044558,0.0440478612868071,0.0440478612868071
"Paillaco",0.801094255755898,0.198905744244102,0.039190645388455,0.039190645388455
"Paine",0.488907416165482,0.511092583834519,0.0465079277974463,0.0465079277974463
"Panguipulli",0.607759832442569,0.392240167557431,0.0686768626473104,0.0686768626473104
"Parral",0.582927351321922,0.417072648678078,0.0415510866495935,0.0415510866495935
"Pedro Aguirre Cerda",0.516328368507652,0.483671631492348,0.0334271692790326,0.0334271692790326
"Penaflor",0.359535891121519,0.640464108878481,0.0361172094374531,0.0361172094374531
"Penalolen",0.550920357050464,0.449079642949536,0.0490285633498908,0.0490285633498908
"Penco",0.490913445569407,0.509086554430593,0.0315499570675565,0.0315499570675566
"Pichilemu",0.635045524484148,0.364954475515852,0.055987638173256,0.055987638173256
"Pitrufquen",0.575183544909621,0.424816455090379,0.0562703132937493,0.0562703132937493
"Pozo Almonte",0.509988530449312,0.490011469550688,0.0598176897524065,0.0598176897524065
"Providencia",0.406836166886271,0.593163833113729,0.0269966198189861,0.0269966198189861
"Pucon",0.570598893813551,0.429401106186449,0.0386521660739762,0.0386521660739762
"Pudahuel",0.329301049841607,0.670698950158393,0.0367285111341524,0.0367285111341524
"Puente Alto",0.3044268979267,0.6955731020733,0.0280762642457638,0.0280762642457638
"Puerto Montt",0.504121833813833,0.495878166186167,0.0327818311373196,0.0327818311373196
"Puerto Varas",0.481621241576808,0.518378758423192,0.0580476121751977,0.0580476121751977
"Punta Arenas",0.732500648149538,0.267499351850462,0.0252227819826586,0.0252227819826586
"Quellon",0.79536376921463,0.20463623078537,0.0290995452939977,0.0290995452939977
"Quilicura",0.361286761939081,0.638713238060919,0.0417856389964165,0.0417856389964165
"Quillon",0.571849652881025,0.428150347118975,0.05058633685215,0.05058633685215
"Quillota",0.427929650841862,0.572070349158138,0.0391370536870711,0.0391370536870711
"Quilpue",0.378496815700378,0.621503184299622,0.0243398001163408,0.0243398001163408
"Quinta Normal",0.415435466449022,0.584564533550978,0.0326552731715732,0.0326552731715732
"Quirihue",0.798306049079094,0.201693950920907,0.0306125960773682,0.0306125960773682
"Rancagua",0.391964172712774,0.608035827287226,0.0272836210007988,0.0272836210007988
"Recoleta",0.596190293965421,0.403809706034579,0.0321875885844208,0.0321875885844208
"Renca",0.446958462180607,0.553041537819393,0.0416510009829081,0.0416510009829081
"Rengo",0.603709466610899,0.396290533389101,0.049005677078788,0.049005677078788
"Rio Bueno",0.865212531093521,0.134787468906479,0.03043067135273,0.03043067135273
"San Antonio",0.476641614573327,0.523358385426673,0.0415004983026138,0.0415004983026138
"San Bernardo",0.399848288922108,0.600151711077892,0.0452430660095515,0.0452430660095515
"San Carlos",0.62474873667336,0.37525126332664,0.0439149792999893,0.0439149792999893
"San Felipe",0.392811768730993,0.607188231269007,0.0331735792066905,0.0331735792066905
"San Fernando",0.514705676961086,0.485294323038914,0.0405170776206697,0.0405170776206697
"San Javier",0.572855906759444,0.427144093240556,0.0530014618958333,0.0530014618958333
"San Joaquin",0.402085653856562,0.597914346143438,0.0598754372400519,0.0598754372400519
"San Miguel",0.343468315153553,0.656531684846447,0.0306032561158122,0.0306032561158122
"San Pedro de la Paz",0.465174338292763,0.534825661707237,0.0393772561843418,0.0393772561843418
"San Ramon",0.56972213108646,0.43027786891354,0.0340993148754765,0.0340993148754765
"San Vicente",0.642234301391305,0.357765698608695,0.0409321239035856,0.0409321239035856
"Santa Cruz",0.508472707105955,0.491527292894045,0.0411183355851788,0.0411183355851788
"Santiago",0.480922247900201,0.519077752099799,0.0216309105390439,0.0216309105390439
"Talagante",0.43281856575902,0.56718143424098,0.0378602161288504,0.0378602161288504
"Talca",0.567947474063076,0.432052525936924,0.0251486014857563,0.0251486014857563
"Talcahuano",0.42286554393492,0.577134456065081,0.0329215510428781,0.0329215510428781
"Temuco",0.434435344306151,0.565564655693849,0.026227062591376,0.026227062591376
"Tocopilla",0.603905698998379,0.396094301001621,0.0495014431000885,0.0495014431000885
"Tome",0.583035240262628,0.416964759737372,0.0306661725563009,0.0306661725563009
"Valdivia",0.546369995038577,0.453630004961423,0.0314337680675041,0.0314337680675041
"Vallenar",0.61533509465557,0.38466490534443,0.0438974852296914,0.0438974852296914
"Valparaiso",0.437076661190037,0.562923338809963,0.0253029618712247,0.0253029618712247
"Victoria",0.705530276794834,0.294469723205166,0.0391419964254487,0.0391419964254487
"Vilcun",0.653937870692291,0.346062129307709,0.0613548119861626,0.0613548119861626
"Villa Alemana",0.315710114006401,0.684289885993599,0.0248514620053265,0.0248514620053265
"Villarrica",0.688249977255173,0.311750022744827,0.0443128633937419,0.0443128633937419
"Vina del Mar",0.467617886362037,0.532382113637963,0.0243786972788022,0.0243786972788022
"Vitacura",0.415085296080508,0.584914703919492,0.0478009337901539,0.0478009337901539
"Yungay",0.667819691252412,0.332180308747588,0.0440203969272858,0.0440203969272859
