"comuna","acceso_casas_controladoFALSE","acceso_casas_controladoTRUE","se.acceso_casas_controladoFALSE","se.acceso_casas_controladoTRUE"
"Aisen",0.984256374482187,0.0157436255178132,0.00843719890258329,0.00843719890258329
"Alto Hospicio",0.942696367883805,0.0573036321161946,0.0198699075559443,0.0198699075559443
"Ancud",0.996172248197047,0.00382775180295344,0.00380693742441729,0.00380693742441729
"Angol",1,0,0,0
"Antofagasta",0.925248602256518,0.0747513977434817,0.0219725563489394,0.0219725563489394
"Arica",0.986555519070008,0.0134444809299921,0.0050643940118754,0.0050643940118754
"Buin",0.96412306945979,0.0358769305402099,0.0189054932499234,0.0189054932499234
"Bulnes",0.974605870112607,0.0253941298873926,0.0122411033847834,0.0122411033847834
"Calama",0.934848094306692,0.0651519056933079,0.0216502255148251,0.0216502255148251
"Calbuco",0.981701095095575,0.0182989049044254,0.0126027232010004,0.0126027232010004
"Calera",0.96997910429402,0.0300208957059803,0.0106902566780045,0.0106902566780045
"Castro",0.996098004733454,0.00390199526654624,0.00388927674429317,0.00388927674429317
"Cauquenes",0.995137133075837,0.00486286692416274,0.00382015652706436,0.00382015652706435
"Cerrillos",0.978312190529806,0.0216878094701935,0.0161420416097568,0.0161420416097568
"Cerro Navia",0.994154918376055,0.00584508162394543,0.00587623708304573,0.00587623708304573
"Chanaral",1,0,0,0
"Chiguayante",0.969920013122047,0.0300799868779533,0.0103855772234788,0.0103855772234788
"Chillan",0.971524799023509,0.0284752009764914,0.0138349918390948,0.0138349918390948
"Chillan Viejo",0.992667371903441,0.00733262809655894,0.00417456562431372,0.00417456562431372
"Chimbarongo",0.996390671638209,0.003609328361791,0.00361839544458346,0.00361839544458346
"Coihaique",0.990554873620453,0.00944512637954715,0.00592471432852969,0.00592471432852969
"Coihueco",1,0,8.79066758490457e-18,0
"Colina",0.82939481791089,0.17060518208911,0.0507132284801273,0.0507132284801273
"Collipulli",1,0,4.86964602505608e-18,0
"Concepcion",0.927925315645036,0.0720746843549644,0.0190916403471286,0.0190916403471286
"Conchali",0.993521587353647,0.00647841264635319,0.0038079971410464,0.0038079971410464
"Concon",0.923190843736321,0.0768091562636795,0.0246901610258108,0.0246901610258108
"Constitucion",0.99437125419312,0.00562874580687983,0.00453556932681389,0.00453556932681389
"Copiapo",0.934414669157198,0.0655853308428024,0.0198539633109234,0.0198539633109234
"Coquimbo",0.987555909759727,0.0124440902402729,0.00877789488839479,0.00877789488839479
"Coronel",0.981445462008733,0.0185545379912672,0.00881265281929773,0.00881265281929773
"Curico",0.986100608813229,0.0138993911867712,0.00553791436664266,0.00553791436664266
"Donihue",1,0,0,0
"El Bosque",0.991431144808749,0.00856885519125144,0.00496007653584926,0.00496007653584926
"Estacion Central",0.994119778738907,0.00588022126109271,0.00450386521265402,0.00450386521265402
"Graneros",0.989042457490279,0.0109575425097209,0.0086943105429325,0.0086943105429325
"Hualpen",0.99323234440521,0.00676765559478999,0.00493969346843247,0.00493969346843247
"Huechuraba",0.697738271598221,0.302261728401779,0.0918793661045589,0.0918793661045589
"Illapel",0.989501342210545,0.0104986577894554,0.0076054430301529,0.00760544303015291
"Independencia",0.987860337254976,0.0121396627450238,0.0071796730721748,0.0071796730721748
"Iquique",0.965753760750647,0.0342462392493525,0.0123546405894107,0.0123546405894107
"La Cisterna",0.994683200898982,0.00531679910101761,0.0038419654362488,0.0038419654362488
"La Florida",0.952155545029555,0.0478444549704453,0.0152282397230756,0.0152282397230756
"La Granja",0.985613306850079,0.0143866931499206,0.0103913982224397,0.0103913982224397
"La Ligua",1,0,5.4433915040218e-18,0
"La Pintana",0.976450862941884,0.0235491370581165,0.0151597162929016,0.0151597162929016
"La Reina",0.727820983910448,0.272179016089552,0.0428999841570084,0.0428999841570084
"La Serena",0.972726729422871,0.0272732705771291,0.0131833155069895,0.0131833155069895
"La Union",1,0,0,0
"Lampa",0.951412465991474,0.0485875340085259,0.020026884261864,0.020026884261864
"Las Condes",0.979222166966392,0.0207778330336076,0.0104729888340799,0.0104729888340799
"Lautaro",1,0,0,0
"Lebu",1,0,0,0
"Limache",0.90995444038286,0.0900455596171401,0.0294328985881288,0.0294328985881288
"Linares",0.980106284132468,0.0198937158675315,0.0104968303457267,0.0104968303457267
"Lo Barnechea",0.758799267232905,0.241200732767095,0.060866145040426,0.060866145040426
"Lo Espejo",0.997406422798684,0.00259357720131585,0.00258961126144058,0.00258961126144058
"Lo Prado",0.987868020274332,0.0121319797256677,0.012083328216851,0.012083328216851
"Loncoche",1,0,7.48238503126799e-18,0
"Los Andes",0.983213719008476,0.0167862809915244,0.00786473732534101,0.00786473732534101
"Los Angeles",0.96047781649748,0.0395221835025196,0.0200345642040918,0.0200345642040918
"Los Vilos",0.980816396859561,0.0191836031404392,0.0134180767293385,0.0134180767293385
"Lota",0.995833017046742,0.00416698295325769,0.00299734556590658,0.00299734556590658
"Machali",0.900743703979833,0.0992562960201673,0.0287730664294608,0.0287730664294608
"Macul",0.980518857177949,0.0194811428220507,0.00865695575142152,0.00865695575142152
"Maipu",0.959357959052355,0.0406420409476452,0.0174572508970199,0.0174572508970199
"Maule",0.995162940593207,0.00483705940679284,0.00482374703136535,0.00482374703136536
"Melipilla",1,0,0,0
"Molina",0.991961802738958,0.00803819726104226,0.00489283262591061,0.00489283262591061
"Mostazal",0.990738724170693,0.009261275829307,0.00940569274521621,0.00940569274521621
"Natales",0.98997288909804,0.0100271109019598,0.00680321975864172,0.00680321975864172
"Nueva Imperial",1,0,8.10821835274616e-18,0
"Nunoa",0.980447566674469,0.0195524333255315,0.00746865902287669,0.00746865902287669
"Osorno",0.992901905752164,0.00709809424783599,0.00710788955176254,0.00710788955176254
"Ovalle",0.994020921747981,0.00597907825201916,0.00429830769111643,0.00429830769111643
"Padre Hurtado",1,0,0,0
"Padre Las Casas",0.998825458930636,0.00117454106936436,0.0011973027438167,0.0011973027438167
"Paillaco",1,0,0,0
"Paine",0.99021934237868,0.00978065762132015,0.00569231558856988,0.00569231558856988
"Panguipulli",1,0,0,0
"Parral",0.996316203075541,0.00368379692445884,0.00366820396443535,0.00366820396443535
"Pedro Aguirre Cerda",0.981602640619097,0.0183973593809035,0.0110881810290522,0.0110881810290522
"Penaflor",0.905749890767953,0.0942501092320471,0.0265930146408916,0.0265930146408916
"Penalolen",0.89804662195313,0.10195337804687,0.0313150348826322,0.0313150348826322
"Penco",0.979326187086791,0.0206738129132087,0.00856598880232577,0.00856598880232577
"Pichilemu",0.99479682026788,0.00520317973212054,0.00537284529467021,0.00537284529467021
"Pitrufquen",1,0,0,0
"Pozo Almonte",1,0,0,0
"Providencia",0.985885039506214,0.0141149604937861,0.0084404053840304,0.0084404053840304
"Pucon",0.967923886961743,0.0320761130382571,0.0272203671942417,0.0272203671942417
"Pudahuel",0.970936714747956,0.0290632852520438,0.0136513835636124,0.0136513835636124
"Puente Alto",0.869356940540982,0.130643059459019,0.0290762921365495,0.0290762921365495
"Puerto Montt",0.978854447402669,0.0211455525973313,0.0104019743458198,0.0104019743458198
"Puerto Varas",1,0,0,0
"Punta Arenas",0.994406041816064,0.00559395818393614,0.00258837938806019,0.00258837938806019
"Quellon",0.992405056042466,0.00759494395753434,0.00749723411620387,0.00749723411620387
"Quilicura",0.949030021120675,0.0509699788793246,0.0262779209297126,0.0262779209297126
"Quillon",1,0,0,0
"Quillota",0.982704810995961,0.0172951890040387,0.014308456853867,0.014308456853867
"Quilpue",0.9206181856257,0.0793818143743001,0.01864331178277,0.01864331178277
"Quinta Normal",0.986102704681263,0.013897295318737,0.00669170350751055,0.00669170350751055
"Quirihue",0.994033100006656,0.00596689999334442,0.00596949443021075,0.00596949443021075
"Rancagua",0.995677501670897,0.00432249832910312,0.00341965318023678,0.00341965318023678
"Recoleta",0.997220978779971,0.00277902122002937,0.00196185318387127,0.00196185318387127
"Renca",0.9824982106208,0.0175017893791996,0.0172798961988876,0.0172798961988876
"Rengo",0.995209453299263,0.00479054670073735,0.00355370815427554,0.00355370815427554
"Rio Bueno",0.995334300688643,0.00466569931135668,0.00458042216593814,0.00458042216593814
"San Antonio",0.970081170549973,0.0299188294500265,0.0160358653025683,0.0160358653025683
"San Bernardo",0.889990483479844,0.110009516520156,0.0358279067275847,0.0358279067275847
"San Carlos",0.989920509429174,0.0100794905708263,0.00770035718236216,0.00770035718236216
"San Felipe",0.982643623167766,0.0173563768322336,0.00974892163751575,0.00974892163751575
"San Fernando",0.986037861416974,0.0139621385830257,0.00608458793536362,0.00608458793536362
"San Javier",1,0,0,0
"San Joaquin",0.994077297647427,0.00592270235257349,0.00588794110025385,0.00588794110025386
"San Miguel",0.997179521278746,0.00282047872125421,0.00199880101299361,0.00199880101299361
"San Pedro de la Paz",0.887643404769265,0.112356595230735,0.0265557603435476,0.0265557603435476
"San Ramon",0.996964869775666,0.00303513022433405,0.00305020196564608,0.00305020196564608
"San Vicente",0.974245606984098,0.0257543930159019,0.0158283722379419,0.0158283722379419
"Santa Cruz",0.997348154150122,0.00265184584987827,0.00267642987542547,0.00267642987542547
"Santiago",0.98286941130808,0.0171305886919199,0.00528562451125611,0.00528562451125611
"Talagante",0.96258101907776,0.0374189809222398,0.0170201049720744,0.0170201049720744
"Talca",0.987462701275331,0.0125372987246692,0.00473099330839321,0.00473099330839321
"Talcahuano",0.97388466728024,0.0261153327197603,0.0108975957040021,0.0108975957040021
"Temuco",0.97463450061456,0.0253654993854401,0.00933005067506464,0.00933005067506463
"Tocopilla",1,0,0,0
"Tome",0.990444384588207,0.00955561541179241,0.00565219488660565,0.00565219488660565
"Valdivia",0.981181103842169,0.0188188961578307,0.0134567872109446,0.0134567872109446
"Vallenar",0.991181017563935,0.00881898243606488,0.00875822830052796,0.00875822830052796
"Valparaiso",0.958147105911882,0.0418528940881184,0.0127834891339548,0.0127834891339548
"Victoria",0.977748509809255,0.0222514901907448,0.0170672343942457,0.0170672343942457
"Vilcun",1,0,0,0
"Villa Alemana",0.941423907577082,0.0585760924229183,0.0145374509179686,0.0145374509179686
"Villarrica",1,0,0,0
"Vina del Mar",0.972473104713402,0.0275268952865981,0.00831023198180756,0.00831023198180756
"Vitacura",0.977026315741232,0.0229736842587684,0.0141350889008238,0.0141350889008238
"Yungay",0.993679885256845,0.00632011474315512,0.00467888426794794,0.00467888426794794
